airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price,Actual_Price,Predicted_Price
4,1412,2,1,2,4,5,1,2.25,2,5953,5953,5974.4
4,1389,2,2,2,5,5,1,2.33,2,5953,5953,6814.8
5,1533,2,4,2,4,5,1,2.08,2,5955,5955,26625.4
5,1549,2,4,2,4,5,1,2.33,2,5955,5955,18404.8
5,1546,2,2,2,5,5,1,2.33,2,5955,5955,23883.0
2,1019,2,2,2,5,5,1,2.25,2,5954,5954,5951.6
2,1011,2,5,2,5,5,1,2.25,2,5954,5954,6185.2
2,1007,2,2,2,5,5,1,2.33,2,5954,5954,7493.4
3,458,2,4,2,4,5,1,2.33,2,5955,5955,5955.0
1,873,2,2,2,2,5,1,2.0,2,5955,5955,17225.2
1,878,2,1,2,4,5,1,2.08,2,5955,5955,9886.4
1,812,2,1,2,4,5,1,2.17,2,5955,5955,17057.2
0,1211,2,2,0,1,5,1,12.25,2,5949,5949,8773.2
1,798,2,0,0,2,5,1,3.5,2,5955,5955,16362.8
5,1536,2,0,2,2,5,1,2.17,2,7530,7530,20913.6
5,1541,2,4,2,0,5,1,2.33,2,7530,7530,22499.8
1,772,2,4,0,5,5,1,15.75,2,9840,9840,49314.6
3,97,2,4,0,0,5,1,4.08,2,10523,10523,10722.2
3,99,2,2,0,5,5,1,4.42,2,10838,10838,9960.8
3,204,2,5,0,4,5,1,10.42,2,10838,10838,11518.6
3,123,2,0,0,5,5,1,8.0,2,11326,11326,14074.0
5,1507,2,4,0,5,5,1,12.58,2,12308,12308,44665.0
5,1460,2,4,0,4,5,1,23.17,2,12570,12570,36234.8
1,762,2,5,0,4,5,1,11.42,2,12990,12990,29398.6
1,839,2,5,0,0,5,1,16.17,2,12990,12990,23995.8
1,841,2,2,0,0,5,1,19.5,2,12990,12990,24099.4
2,948,2,1,0,0,5,1,7.75,2,13321,13321,10308.8
5,1472,2,2,0,5,5,1,5.75,2,14093,14093,54817.2
2,982,2,1,0,2,5,1,11.75,2,14129,14129,8996.2
1,877,2,4,0,2,5,1,5.67,2,14250,14250,27297.2
5,1468,2,2,0,5,5,1,28.25,2,15353,15353,15016.8
3,255,2,0,0,5,5,1,10.33,2,15720,15720,7571.0
5,1493,2,0,0,5,5,1,9.08,2,16560,16560,43440.8
1,841,2,2,0,5,5,1,27.17,2,18135,18135,36337.4
5,1439,2,0,0,2,5,1,5.0,2,19343,19343,30547.0
5,1430,2,0,0,0,5,1,26.67,2,19553,19553,24272.2
5,1533,2,4,2,4,5,1,2.08,3,5955,5955,26625.4
5,1549,2,4,2,4,5,1,2.33,3,5955,5955,18404.8
2,1007,2,2,2,5,5,1,2.33,3,5954,5954,6115.6
3,105,2,4,2,0,5,1,2.25,3,5955,5955,7712.8
1,812,2,1,2,4,5,1,2.17,3,5955,5955,17057.2
2,929,2,1,0,5,5,1,15.75,3,5954,5954,7152.0
1,723,2,2,0,5,5,1,3.75,3,5955,5955,13125.8
3,50,2,1,0,2,5,1,10.25,3,7420,7420,8128.4
3,262,2,2,2,5,5,1,2.17,3,8055,8055,6858.0
3,62,2,2,2,2,5,1,2.17,3,8370,8370,6246.6
3,355,2,0,2,2,5,1,2.25,3,8370,8370,6081.0
5,1536,2,0,2,2,5,1,2.17,3,9525,9525,20913.6
5,1440,2,0,0,0,5,1,25.58,3,9988,9988,23624.0
1,758,2,2,0,5,5,1,24.75,3,10785,10785,24449.8
2,1086,2,1,0,5,5,1,14.25,3,10863,10863,10711.8
3,204,2,5,0,4,5,1,10.42,3,10943,10943,11518.6
5,1516,2,5,0,0,5,1,17.92,3,11415,11415,26984.0
3,110,2,0,0,5,5,1,8.33,3,11326,11326,12725.8
5,1507,2,4,0,5,5,1,12.58,3,12098,12098,32490.2
5,1470,2,4,0,4,5,1,24.17,3,12150,12150,13118.2
3,110,2,0,0,2,5,1,3.83,3,11814,11814,10349.4
3,18,2,4,0,2,5,1,7.67,3,11814,11814,14050.6
1,734,2,5,0,0,5,1,16.5,3,11900,11900,34057.0
1,746,2,5,0,4,5,1,11.33,3,12150,12150,20768.2
1,857,2,1,0,5,5,1,14.92,3,12465,12465,37341.8
5,1530,2,0,0,0,5,1,23.75,3,13410,13410,30694.2
1,910,2,4,0,0,5,1,26.08,3,13086,13086,11986.0
1,710,2,1,0,0,5,1,8.0,3,13515,13515,31234.0
5,1431,2,2,0,5,5,1,4.42,3,14565,14565,18657.8
5,1448,2,0,0,5,5,1,28.42,3,15405,15405,45757.6
3,389,2,5,0,4,5,1,10.17,3,15232,15232,10096.2
5,1544,2,5,2,5,5,1,2.17,3,15720,15720,22659.2
3,516,2,5,2,5,5,1,2.25,3,15720,15720,5997.0
1,762,2,5,0,2,5,1,20.42,3,15825,15825,43240.8
1,759,2,2,0,2,5,1,24.83,3,15825,15825,42410.2
2,945,2,1,0,0,5,1,8.0,3,16823,16823,8905.0
5,1464,2,2,0,4,5,1,15.58,3,17243,17243,31705.0
2,961,2,0,0,5,5,1,7.5,3,17136,17136,11476.0
1,704,2,1,0,5,5,1,13.25,3,18135,18135,43464.8
5,1474,2,0,0,5,5,1,7.58,3,21233,21233,25044.4
1,748,2,4,0,4,5,1,22.83,3,22755,22755,43657.4
5,1474,2,0,0,5,5,1,6.0,3,23228,23228,36540.0
1,717,2,0,0,0,5,1,26.17,3,24225,24225,23006.4
1,841,2,2,0,5,5,1,27.17,3,26325,26325,41966.8
1,874,2,4,0,2,5,1,6.42,3,29580,29580,21774.4
1,752,2,0,0,5,5,1,8.92,3,31260,31260,33380.4
4,1249,2,1,2,4,5,1,2.33,4,5953,5953,5951.0
4,1387,2,1,2,4,5,1,2.33,4,5953,5953,5953.4
4,1251,2,2,2,5,5,1,2.33,4,5953,5953,6245.4
5,1552,2,2,2,5,5,1,2.25,4,5955,5955,30178.6
2,1011,2,5,2,5,5,1,2.25,4,5954,5954,6416.4
2,1015,2,4,2,0,5,1,2.33,4,5954,5954,5954.0
3,67,2,1,2,4,5,1,2.17,4,5955,5955,6144.0
4,1412,2,1,2,4,5,1,2.25,4,5955,5955,5953.0
3,355,2,0,2,2,5,1,2.25,4,5955,5955,6081.0
3,458,2,4,2,4,5,1,2.33,4,5955,5955,6186.0
3,303,2,4,2,4,5,1,2.5,4,5955,5955,7867.8
1,812,2,1,2,4,5,1,2.17,4,5955,5955,20296.6
2,923,2,0,0,2,5,1,5.83,4,5954,5954,9960.2
2,961,2,0,0,5,5,1,9.25,4,5954,5954,10373.6
3,50,2,1,0,2,5,1,10.25,4,5955,5955,8128.4
0,1213,2,1,2,1,5,1,2.17,4,6139,6139,6071.2
4,1404,2,2,0,1,5,1,13.25,4,6270,6270,6459.0
3,18,2,4,0,2,5,1,7.67,4,7420,7420,14245.8
3,110,2,0,0,5,5,1,8.33,4,7420,7420,10688.8
1,719,2,1,0,5,5,1,17.5,4,8413,8413,20398.8
2,1086,2,1,0,5,5,1,14.25,4,8869,8869,8994.8
3,123,2,0,0,5,5,1,8.0,4,8885,8885,12635.4
5,1507,2,4,0,5,5,1,12.58,4,9840,9840,32490.2
5,1516,2,5,0,4,5,1,13.42,4,9840,9840,21114.4
5,1516,2,5,0,0,5,1,17.92,4,9840,9840,19672.4
5,1523,2,2,0,5,5,1,5.33,4,10575,10575,30956.0
2,945,2,1,0,0,5,1,8.0,4,10575,10575,8127.8
5,1430,2,0,0,0,5,1,26.67,4,11573,11573,21984.0
5,1472,2,2,0,5,5,1,5.75,4,12150,12150,44176.2
5,1474,2,0,0,5,5,1,7.58,4,12150,12150,32134.0
5,1460,2,4,0,5,5,1,11.17,4,12150,12150,32220.2
5,1460,2,4,0,5,5,1,12.75,4,12150,12150,40248.0
5,1470,2,4,0,5,5,1,13.75,4,12150,12150,40373.8
1,726,2,1,0,0,5,1,8.83,4,11900,11900,22696.8
1,748,2,4,0,5,5,1,11.33,4,12150,12150,22377.6
1,744,2,0,0,4,5,1,19.08,4,12150,12150,38473.4
1,748,2,4,0,4,5,1,22.83,4,12150,12150,36407.8
1,857,2,1,0,4,5,1,26.42,4,12150,12150,36982.4
3,85,2,1,0,0,5,1,5.08,4,12302,12302,13083.6
1,725,2,0,0,2,5,1,25.92,4,12360,12360,29921.2
3,32,2,1,0,4,5,1,4.83,4,12518,12518,10043.8
5,1489,2,2,0,0,5,1,18.58,4,12990,12990,28976.6
5,1487,2,1,0,4,5,1,25.83,4,13410,13410,40410.4
1,877,2,4,0,5,5,1,11.5,4,15143,15143,19206.2
1,721,2,1,0,2,5,1,11.0,4,15825,15825,39085.2
5,1441,2,1,0,5,5,1,12.83,4,16665,16665,52931.6
5,1441,2,1,0,0,5,1,5.5,4,18450,18450,37742.2
1,759,2,2,0,2,5,1,26.0,4,21180,21180,33908.4
1,710,2,1,0,0,5,1,8.0,4,24540,24540,29646.8
4,1259,2,2,2,5,5,1,2.17,5,5953,5953,5953.0
4,1249,2,1,2,4,5,1,2.33,5,5953,5953,5953.4
4,1251,2,2,2,5,5,1,2.33,5,5953,5953,5953.4
5,1551,2,1,2,1,5,1,2.17,5,5955,5955,23065.2
5,1544,2,5,2,5,5,1,2.17,5,5955,5955,17091.6
2,1019,2,2,2,5,5,1,2.25,5,5954,5954,5954.0
2,1015,2,4,2,0,5,1,2.33,5,5954,5954,5954.0
3,62,2,2,2,2,5,1,2.17,5,5955,5955,6333.0
3,262,2,2,2,5,5,1,2.17,5,5955,5955,5997.0
3,105,2,4,2,0,5,1,2.25,5,5955,5955,6248.0
1,873,2,2,2,2,5,1,2.0,5,5955,5955,15841.2
2,951,2,0,1,5,5,1,8.58,5,5954,5954,8135.0
2,949,2,4,0,2,5,1,8.92,5,5954,5954,11681.2
2,933,2,2,0,4,5,1,15.17,5,5954,5954,8863.2
1,723,2,2,0,5,5,1,3.75,5,5955,5955,15673.2
3,99,2,2,0,5,5,1,4.42,5,7420,7420,10056.4
3,110,2,0,0,5,5,1,8.33,5,7420,7420,9841.6
1,735,2,4,0,5,5,1,14.75,5,7468,7468,20852.8
3,110,2,0,0,2,5,1,3.83,5,8396,8396,10349.4
3,85,2,1,0,0,5,1,5.08,5,9373,9373,10251.8
5,1507,2,4,0,4,5,1,23.58,5,9840,9840,29479.6
5,1530,2,0,0,4,5,1,19.25,5,9945,9945,23202.0
5,1530,2,0,0,0,5,1,23.75,5,9945,9945,28704.6
3,97,2,4,0,0,5,1,4.08,5,9998,9998,8769.2
5,1442,2,0,0,5,5,1,7.92,5,10575,10575,24474.6
1,906,2,1,0,5,5,1,15.17,5,10260,10260,10156.4
5,1440,2,0,0,0,5,1,25.58,5,10723,10723,23766.4
2,939,2,4,0,2,5,1,7.08,5,10549,10549,12880.2
2,945,2,1,0,0,5,1,8.0,5,10575,10575,8127.8
1,732,2,2,0,2,5,1,22.75,5,10680,10680,29307.4
1,706,2,0,0,2,5,1,6.33,5,11773,11773,27148.6
5,1466,2,1,0,4,5,1,5.5,5,12150,12150,49078.4
5,1468,2,2,0,5,5,1,5.83,5,12150,12150,39733.2
5,1472,2,2,0,5,5,1,7.33,5,12150,12150,30043.0
1,734,2,5,0,0,5,1,17.75,5,11900,11900,26366.2
2,987,2,4,0,5,5,1,11.0,5,12045,12045,9577.4
1,748,2,4,0,4,5,1,23.08,5,12150,12150,45185.2
5,1489,2,2,0,4,5,1,13.08,5,13095,13095,28473.6
5,1487,2,1,0,5,5,1,15.42,5,13095,13095,15347.4
1,762,2,5,0,4,5,1,11.42,5,12990,12990,19711.0
1,704,2,1,0,5,5,1,13.25,5,12990,12990,39389.8
3,604,2,1,0,2,5,1,8.67,5,13279,13279,13381.8
5,1443,2,2,0,5,5,1,6.0,5,13725,13725,33843.2
1,839,2,5,0,0,5,1,16.17,5,13410,13410,13914.0
5,1497,2,4,0,0,5,1,27.58,5,13830,13830,25707.8
1,839,2,5,0,5,5,1,23.83,5,14355,14355,34515.2
5,1441,2,1,0,5,5,1,12.83,5,18345,18345,49589.8
1,877,2,4,0,2,5,1,5.67,5,19500,19500,20083.6
1,762,2,5,0,2,5,1,20.42,5,22755,22755,41170.4
0,1213,2,1,2,1,5,1,2.17,6,5956,5956,6191.8
5,1536,2,0,2,2,5,1,2.17,6,5955,5955,23065.2
5,1559,2,4,2,0,5,1,2.25,6,5955,5955,24655.6
5,1541,2,4,2,0,5,1,2.33,6,5955,5955,22796.4
3,94,2,5,2,3,5,1,2.17,6,5955,5955,5997.0
3,105,2,4,2,0,5,1,2.33,6,5955,5955,5997.0
3,303,2,4,2,4,5,1,2.5,6,5955,5955,5997.0
1,873,2,2,2,2,5,1,2.0,6,5955,5955,15673.2
1,812,2,1,2,4,5,1,2.17,6,5955,5955,18912.6
1,859,2,2,2,5,5,1,2.17,6,5955,5955,12433.8
0,1203,2,5,0,1,5,1,10.5,6,5949,5949,7716.8
2,949,2,4,0,2,5,1,8.92,6,5954,5954,11681.2
2,982,2,1,0,2,5,1,11.75,6,5954,5954,5954.0
2,925,2,2,0,1,5,1,12.33,6,5954,5954,5954.0
2,929,2,1,0,5,5,1,15.75,6,5954,5954,7347.2
1,723,2,2,0,5,5,1,3.75,6,5955,5955,15673.2
4,1269,2,0,0,2,5,1,25.75,6,6060,6060,11078.8
2,1014,2,0,2,2,5,1,2.25,6,6532,6532,6069.6
3,99,2,2,0,5,5,1,4.42,6,7420,7420,10056.4
5,1442,2,0,0,4,5,1,21.83,6,9000,9000,26440.8
2,1085,2,2,0,5,5,1,4.75,6,8869,8869,11011.4
1,758,2,2,0,5,5,1,24.75,6,9000,9000,18362.8
5,1530,2,0,0,5,5,1,8.25,6,9840,9840,30815.6
5,1523,2,2,0,5,5,1,5.33,6,9945,9945,30485.6
4,1282,2,2,0,4,5,1,15.25,6,11281,11281,7771.4
2,956,2,4,0,2,5,1,6.33,6,11609,11609,17373.4
5,1468,2,2,0,5,5,1,5.83,6,12150,12150,39733.2
5,1474,2,0,0,5,5,1,6.5,6,12150,12150,28555.6
5,1474,2,0,0,5,5,1,7.58,6,12150,12150,28555.6
5,1460,2,4,0,5,5,1,11.17,6,12150,12150,20352.8
5,1470,2,4,0,5,5,1,12.17,6,12150,12150,42966.6
5,1470,2,4,0,5,5,1,12.67,6,12150,12150,41824.2
3,18,2,4,0,2,5,1,7.67,6,11814,11814,12721.2
1,726,2,1,0,0,5,1,10.08,6,11900,11900,21520.8
1,748,2,4,0,5,5,1,11.33,6,12150,12150,19610.2
1,857,2,1,0,5,5,1,14.92,6,12150,12150,28387.6
1,857,2,1,0,4,5,1,26.42,6,12150,12150,36758.4
4,1283,2,1,0,4,5,1,4.25,6,12360,12360,11100.0
1,911,2,2,0,0,5,1,21.25,6,12518,12518,11215.4
5,1487,2,1,0,0,5,1,7.33,6,12990,12990,29368.8
5,1487,2,1,0,5,5,1,15.42,6,13095,13095,27072.6
5,1491,2,2,0,4,5,1,15.58,6,13095,13095,13578.0
3,204,2,5,0,4,5,1,10.42,6,12833,12833,9709.0
1,839,2,5,0,0,5,1,16.17,6,12990,12990,13506.8
1,841,2,2,0,0,5,1,19.5,6,14250,14250,13326.0
4,1296,2,0,0,0,5,1,21.08,6,14328,14328,12154.8
5,1451,2,1,0,5,5,1,13.83,6,14880,14880,46276.0
1,704,2,1,0,5,5,1,13.25,6,14775,14775,29649.2
4,1408,2,2,2,5,5,1,2.17,7,5953,5953,5974.4
4,1257,2,1,2,4,5,1,2.25,7,5953,5953,5953.4
4,1251,2,2,2,5,5,1,2.33,7,5953,5953,5953.4
4,1389,2,2,2,5,5,1,2.33,7,5953,5953,5953.4
5,1553,2,5,2,5,5,1,2.0,7,5955,5955,24760.6
5,1551,2,1,2,1,5,1,2.17,7,5955,5955,17361.8
5,1557,2,0,2,0,5,1,2.17,7,5955,5955,17361.8
5,1536,2,0,2,2,5,1,2.17,7,5955,5955,28768.6
5,1559,2,4,2,0,5,1,2.25,7,5955,5955,24655.6
5,1549,2,4,2,4,5,1,2.33,7,5955,5955,18257.8
5,1546,2,2,2,5,5,1,2.33,7,5955,5955,15421.6
5,1552,2,2,2,5,5,1,2.25,7,6060,6060,13696.8
2,1038,2,0,2,2,5,1,2.25,7,5954,5954,6300.8
2,1011,2,5,2,5,5,1,2.25,7,5954,5954,6300.8
3,245,2,1,2,4,5,1,2.17,7,5955,5955,5997.0
3,94,2,5,2,3,5,1,2.17,7,5955,5955,6081.0
1,812,2,1,2,4,5,1,2.17,7,5955,5955,18912.6
2,951,2,0,1,5,5,1,8.58,7,5954,5954,11397.6
2,982,2,1,0,2,5,1,11.75,7,5954,5954,5954.0
2,925,2,2,0,1,5,1,12.33,7,5954,5954,6354.8
2,929,2,1,0,5,5,1,15.75,7,5954,5954,5954.0
4,1404,2,2,0,1,5,1,13.25,7,6060,6060,6186.0
3,355,2,0,2,2,5,1,2.25,7,6165,6165,6942.0
2,1014,2,0,2,2,5,1,2.25,7,6532,6532,6416.4
3,84,2,1,0,0,5,1,7.58,7,6638,6638,8689.4
1,719,2,1,0,5,5,1,17.5,7,7468,7468,14297.8
5,1430,2,0,0,0,5,1,26.67,7,8948,8948,31348.0
5,1431,2,2,0,4,5,1,18.33,7,9105,9105,20051.8
2,1085,2,2,0,5,5,1,4.75,7,8869,8869,9705.6
1,758,2,2,0,5,5,1,24.75,7,9315,9315,18488.8
5,1530,2,0,0,5,5,1,8.25,7,9840,9840,23836.4
5,1484,2,1,0,5,5,1,15.5,7,9840,9840,29479.6
5,1516,2,5,0,0,5,1,17.92,7,9840,9840,22462.2
5,1530,2,0,0,0,5,1,23.75,7,9840,9840,22584.4
5,1516,2,5,0,4,5,1,13.42,7,9893,9893,26362.8
5,1507,2,4,0,4,5,1,23.58,7,9998,9998,28851.6
1,736,2,2,0,2,5,1,23.92,7,9905,9905,15472.6
3,97,2,4,0,0,5,1,4.08,7,9998,9998,6816.2
3,110,2,0,0,5,5,1,8.33,7,10349,10349,9957.2
5,1440,2,0,0,0,5,1,25.58,7,10723,10723,25458.6
1,874,2,4,0,2,5,1,6.42,7,10680,10680,11117.2
1,732,2,2,0,2,5,1,22.75,7,10680,10680,23464.6
1,711,2,2,0,2,5,1,25.08,7,10921,10921,26848.6
1,725,2,0,0,2,5,1,25.92,7,11520,11520,23600.8
5,1472,2,2,0,5,5,1,5.75,7,12150,12150,30043.0
5,1474,2,0,0,5,5,1,6.5,7,12150,12150,29698.0
5,1472,2,2,0,5,5,1,7.33,7,12150,12150,21840.2
5,1460,2,4,0,5,5,1,11.67,7,12150,12150,36854.8
1,744,2,0,0,4,5,1,19.08,7,12150,12150,36758.4
1,748,2,4,0,4,5,1,22.83,7,12150,12150,46430.0
1,857,2,1,0,4,5,1,26.42,7,12150,12150,36758.4
5,1487,2,1,0,0,5,1,7.33,7,12990,12990,31716.4
5,1491,2,2,0,4,5,1,18.25,7,12990,12990,21172.8
5,1489,2,2,0,0,5,1,18.58,7,12990,12990,29677.4
1,841,2,2,0,0,5,1,19.5,7,12990,12990,14254.6
1,762,2,5,0,2,5,1,20.42,7,12990,12990,46342.4
1,759,2,2,0,2,5,1,24.83,7,12990,12990,40416.4
1,709,2,4,0,2,5,1,7.25,7,14176,14176,15255.6
5,1448,2,0,0,5,5,1,7.58,7,14565,14565,35817.2
1,766,2,2,0,5,5,1,6.67,7,14880,14880,31144.8
1,764,2,4,0,5,5,1,14.17,7,15300,15300,30640.8
2,987,2,4,0,2,5,1,7.5,7,15405,15405,11782.2
1,715,2,4,0,0,5,1,30.08,7,15405,15405,30395.2
1,877,2,4,0,2,5,1,5.67,7,21075,21075,16829.2
1,721,2,1,0,2,5,1,11.0,7,21180,21180,39061.6
4,1408,2,2,2,5,5,1,2.17,8,5953,5953,5974.8
4,1412,2,1,2,4,5,1,2.25,8,5953,5953,5953.4
4,1387,2,1,2,4,5,1,2.33,8,5953,5953,5953.8
4,1251,2,2,2,5,5,1,2.33,8,5953,5953,5953.8
4,1389,2,2,2,5,5,1,2.33,8,5953,5953,5953.8
5,1536,2,0,2,2,5,1,2.17,8,5955,5955,37876.8
5,1538,2,2,2,2,5,1,2.33,8,5955,5955,21967.6
2,1038,2,0,2,2,5,1,2.25,8,5954,5954,6069.6
2,1015,2,4,2,0,5,1,2.33,8,5954,5954,5954.0
2,1007,2,2,2,5,5,1,2.33,8,5954,5954,5798.6
3,67,2,1,2,4,5,1,2.17,8,5955,5955,5955.0
3,245,2,1,2,4,5,1,2.17,8,5955,5955,5997.0
3,105,2,4,2,0,5,1,2.33,8,5955,5955,5997.0
1,873,2,2,2,2,5,1,2.0,8,5955,5955,15673.2
1,812,2,1,2,4,5,1,2.17,8,5955,5955,18912.6
1,871,2,4,2,0,5,1,2.17,8,5955,5955,15673.2
2,961,2,0,0,5,5,1,9.25,8,5954,5954,6541.6
1,723,2,2,0,5,5,1,3.75,8,5955,5955,12433.8
3,84,2,1,0,0,5,1,7.58,8,5955,5955,10154.2
3,62,2,2,2,2,5,1,2.17,8,6165,6165,6921.0
5,1552,2,2,2,5,5,1,2.25,8,6690,6690,13780.8
3,355,2,0,2,2,5,1,2.25,8,6585,6585,6942.0
3,672,2,2,0,5,5,1,4.92,8,7420,7420,9373.0
2,1085,2,2,0,5,5,1,4.75,8,8869,8869,9215.8
5,1523,2,2,0,5,5,1,5.33,8,9840,9840,23443.4
5,1484,2,1,0,0,5,1,7.0,8,9840,9840,22416.4
5,1516,2,5,0,4,5,1,13.42,8,9840,9840,27953.2
5,1530,2,0,0,4,5,1,19.25,8,9840,9840,23896.8
5,1516,2,5,0,5,5,1,26.42,8,9840,9840,17346.0
5,1484,2,1,0,4,5,1,26.5,8,9840,9840,23083.4
5,1507,2,4,0,5,5,1,12.58,8,9945,9945,22584.4
3,204,2,5,0,4,5,1,10.42,8,9861,9861,8439.6
3,270,2,1,0,2,5,1,10.25,8,10523,10523,7292.0
5,1442,2,0,0,5,5,1,7.92,8,11888,11888,36444.0
5,1460,2,4,0,5,5,1,11.17,8,12150,12150,33276.4
5,1470,2,4,0,5,5,1,12.67,8,12150,12150,37900.8
3,32,2,1,0,4,5,1,4.83,8,11993,11993,10984.6
1,857,2,1,0,5,5,1,14.92,8,12150,12150,27813.0
1,748,2,4,0,4,5,1,22.83,8,12150,12150,29164.6
5,1439,2,0,0,2,5,1,5.0,8,12623,12623,26172.2
3,389,2,5,0,4,5,1,10.17,8,12302,12302,10935.4
1,766,2,2,0,5,5,1,6.67,8,12360,12360,25394.2
4,1282,2,2,0,4,5,1,15.25,8,12857,12857,7749.8
1,759,2,2,0,4,5,1,15.83,8,12990,12990,27243.8
1,839,2,5,0,0,5,1,16.17,8,12990,12990,21700.4
1,709,2,4,0,2,5,1,7.25,8,13441,13441,14283.4
5,1489,2,2,0,4,5,1,13.08,8,13830,13830,28389.6
5,1487,2,1,0,5,5,1,15.42,8,14565,14565,12995.6
0,1203,2,5,0,1,5,1,10.5,8,14670,14670,8271.0
1,839,2,5,0,5,5,1,23.83,8,16035,16035,32625.2
1,856,2,2,0,5,5,1,29.33,8,16245,16245,21416.2
5,1451,2,1,0,0,5,1,6.5,8,16665,16665,49787.2
5,1451,2,1,0,5,5,1,13.83,8,17715,17715,60339.8
1,844,2,0,0,5,5,1,7.92,8,17400,17400,24949.6
1,867,2,5,0,5,5,1,26.5,8,17505,17505,24086.6
5,1557,2,0,2,0,5,1,2.17,9,5955,5955,24802.6
5,1536,2,0,2,2,5,1,2.17,9,5955,5955,32173.4
5,1539,2,1,2,4,5,1,2.25,9,5955,5955,25999.6
5,1549,2,4,2,4,5,1,2.33,9,5955,5955,24409.2
5,1538,2,2,2,2,5,1,2.33,9,5955,5955,21967.6
2,1015,2,4,2,0,5,1,2.33,9,5954,5954,5954.0
1,812,2,1,2,4,5,1,2.17,9,5955,5955,18912.6
1,871,2,4,2,0,5,1,2.17,9,5955,5955,15673.2
1,791,2,2,2,5,5,1,2.25,9,5955,5955,12433.8
2,961,2,0,0,5,5,1,9.25,9,5954,5954,6541.6
2,925,2,2,0,1,5,1,12.33,9,5954,5954,7156.4
2,933,2,2,0,4,5,1,15.17,9,5954,5954,5653.6
4,1404,2,2,0,1,5,1,13.25,9,6060,6060,6144.0
3,262,2,2,2,5,5,1,2.17,9,6165,6165,6375.0
2,1007,2,2,2,5,5,1,2.33,9,6532,6532,5798.6
0,1176,2,2,2,5,5,1,2.25,9,6769,6769,4797.8
3,255,2,0,0,5,5,1,10.33,9,6932,6932,6150.4
1,719,2,1,0,5,5,1,17.5,9,7783,7783,17776.6
1,730,2,1,0,5,5,1,17.83,9,9000,9000,9315.0
3,79,2,1,0,4,5,1,5.42,9,9373,9373,7517.4
2,1085,2,2,0,5,5,1,4.75,9,9447,9447,8984.6
5,1516,2,5,0,5,5,1,26.42,9,9840,9840,20575.0
5,1516,2,5,0,0,5,1,17.92,9,10260,10260,28851.6
4,1282,2,2,0,5,5,1,4.5,9,10233,10233,8595.2
5,1442,2,0,0,5,5,1,7.92,9,10628,10628,36444.0
5,1431,2,2,0,4,5,1,17.83,9,11100,11100,26440.8
3,18,2,4,0,2,5,1,7.67,9,10838,10838,12124.8
